0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
-0.1886252;0.40079504;0.4117603;0.10973643;0.009840548;0.034626313;0.16642162;0.05630109;0.09739642;-0.09291849;0.3015118;0.056258455;0.055217206;0.16470912;-0.28821257;0.3091152;-0.30595258;0.07570234;0.773223;-0.05537192;-0.41387075;-0.3211369;0.87856597;-0.4068162;-0.0066604298;0.0821116;-0.19608666;-0.23968944;0.049380638;-0.480112
0.6697753;-0.51345634;0.7297926;0.1260302;0.26757094;0.48128572;1.1414999;0.14264075;0.7427996;0.5492677;0.7694839;0.39313972;0.26871267;0.70188254;0.28826445;0.36919194;-0.3282606;0.17884628;-0.031256825;0.5617715;0.58908546;0.12787367;0.22050035;0.42282876;-0.12692766;0.72883105;0.35341725;0.1523853;-0.14505655;0.39453992
-0.38155827;-0.054400302;-0.2940712;0.117845505;-0.6086104;-0.06504867;-0.305379;0.23678018;-0.0036296248;0.20465994;-0.06726097;0.20759636;-0.13436864;-0.3135732;-0.3408807;-0.2339352;0.1967736;-0.048137292;0.20755827;-0.2472119;0.20572658;-0.05029254;0.13738593;-0.3059426;-0.038119994;-0.013327204;-0.102130756;-0.3203419;0.27479616;-0.026569117
0.45401675;0.23253474;0.18840861;-0.25508463;0.52447695;0.41526467;-0.0672548;0.15211727;0.100763686;0.8346023;0.45428827;-0.23066467;0.24600364;0.3077895;0.557978;0.43128112;0.0448969;0.16499685;0.61524755;0.16525108;-0.13893011;0.22005336;0.15182132;0.5361458;0.055317692;0.06006967;0.3205467;0.1235282;-0.049228325;0.2772064
0.066647545;-0.1304136;0.45374915;-0.0974901;-0.049005345;-0.4784437;0.4609456;0.12910323;0.42420578;-0.11565542;0.23509528;0.6076044;0.68942326;0.11541967;0.48159885;0.15611404;-0.17870988;0.03597354;0.8780057;0.40557003;0.023550674;0.13636845;0.45736396;0.37216407;0.00298357;0.83386546;0.27027142;-0.14833033;0.1825774;0.6180172
-0.4171975;-0.23987643;-0.27944776;-0.37273645;-0.15382485;-0.26397255;0.08707482;-0.46756324;-0.4875965;-0.23353748;-0.056612995;-0.023520563;-0.26363584;-0.19237539;-0.41456503;-0.11407509;-0.24397682;-0.48600605;-0.6851728;-0.41485325;-0.21956901;-0.1856859;-0.3323522;-0.2692417;-0.07225874;-0.683164;-0.052130073;-0.36602595;-0.22627905;-0.2905859
0.3000469;0.011749029;-0.070392735;0.06477752;-0.24572468;0.36783;0.2324394;0.11156217;-0.040832292;0.025802523;-0.13571617;0.013186115;-0.029233592;0.05051997;-0.21666983;-0.3483183;-0.17781568;0.12802856;0.061030015;-0.17357828;-0.22153704;0.077394366;-0.12978189;-0.08002664;0.1963041;-0.07858443;-0.016653758;0.43116903;-0.0638617;-0.15538125
-0.66235983;-0.7201666;-0.40325245;-0.84377605;-0.02651172;0.05106139;-0.31519583;-0.6645623;0.20804624;-0.21366858;0.102886766;-0.4162835;-0.035193097;-0.090343885;-0.52986944;0.14003384;-0.31407437;-0.31491756;0.6933206;-0.6573987;-0.6860033;-0.38312018;-0.15777276;-0.5291631;-0.28537247;-0.26914677;-0.4685454;0.095951565;-0.40394264;-0.3726157
-0.38421115;-0.39964503;-0.39100876;-0.30169886;-0.33626354;-0.47847834;-0.644302;-0.47126856;-0.27719885;-0.60438037;-0.16343226;-0.6200479;-0.05474337;-0.029496646;-0.10317228;0.103013925;-0.32201198;-0.54948735;-1.0570637;-0.32980958;-0.07666398;-0.35454348;-0.32006317;0.03719131;-0.3460384;-0.52064306;-0.011285245;-0.4041905;-0.0935529;-0.5099159
0.20526887;0.16984129;-0.011417705;-0.297934;0.45132843;-0.2253618;0.18109076;-0.1787548;0.2742382;0.37794292;-0.23988289;0.18577565;-0.0621661;0.26404467;0.24540152;0.31397069;-0.08891366;-0.003652662;-0.05219537;-0.032411218;-0.24481685;-0.011116758;0.24241155;0.032572858;0.44104344;0.49927318;-0.20077275;0.22192252;-0.025426824;-0.20847063
